,name,preferred,type,cas,parameter_groups
1," p,p'-DDT n","DDT (P,P)",,,ECM
2,(2-Methoxymethylethoxy)propanol,,,,ECM
575,>C10-C12 Aliphatics,Aliphatics C10-C12,,,ECM
576,>C10-C12 Aliphatics (EC=11),Aliphatics C10-C12,,,ECM
577,>C10-C12 Aromatics,Aromatics > EC10-EC12,,,ECM
578,>C10-C12 Aromatics (EC =,Aromatics > EC10-EC12,,,ECM
579,>C12-C16 Aliphatics,Aliphatics C12-C16 (aq),,,ECM
580,>C12-C16 Aliphatics (EC=14),Aliphatics C12-C16 (aq),,,ECM
581,>C12-C16 Aromatics,Aromatics >EC12-EC16 (aq),,,ECM
582,>C12-C16 Aromatics (EC=14),Aromatics >EC12-EC16 (aq),,,ECM
583,>C12-C35 Aliphatics,Aliphatics C12-C35 (aq),,,ECM
584,>C12-C44 Aliphatics,,Chemical Group,,ECM
585,>C12-C44 Aromatics,,Chemical Group,,ECM
586,>C16 Aliphatics (EC=18.5),,Chemical Group,,ECM
587,>C16-C21 Aliphatics,Aliphatics C16-C21 (aq),,,ECM
588,>C16-C21 Aliphatics (EC=18.5),Aliphatics C16-C21 (aq),,,ECM
589,>C16-C21 Aromatics,Aromatics >EC16-EC21 (aq),,,ECM
590,>C16-C21 Aromatics (EC=18.5),Aromatics >EC16-EC21 (aq),,,ECM
591,>C16-C35 Aliphatics,,Chemical Group,,ECM
592,>C21 Aromatics (EC=28),,Chemical Group,,ECM
593,>C21-C35 Aliphatics,Aliphatics C21-C35 (aq),,,ECM
594,>C21-C35 Aliphatics (EC=28),Aliphatics C21-C35 (aq),,,ECM
595,>C21-C35 Aromatics,Aromatics >EC21-EC35 (aq),,,ECM
596,>C21-C40,,Chemical Group,,ECM
597,>C21-C40 Aliphatics,,Chemical Group,,ECM
598,>C21-C40 Aromatics,,Chemical Group,,ECM
599,>C35-C40 Aliphatics,,Chemical Group,,ECM
600,>C35-C44 Aliphatics,,Chemical Group,,ECM
601,>C40-C44 Aromatics,,Chemical Group,,ECM
602,>C5-C7 Aromatics,Aromatics >EC5-EC7,,,ECM
603,>C6-C40 Aliphatics,,Chemical Group,,ECM
604,>C6-C40 Aliphatics/Aromatics,,Chemical Group,,ECM
605,>C6-C40 Aromatics,,Chemical Group,,ECM
606,>C6-C7 Aromatics,C6-C7 Aromatics,,,ECM
607,>C6-C8 Aliphatics,Aliphatics C6-C8,,,ECM
608,>C6-C8 Aliphatics (EC=7),Aliphatics C6-C8,,,ECM
609,>C7-C8 Aromatics,Aromatics >EC7-EC8,,,ECM
610,>C8-C10,,Chemical Group,,ECM
611,>C8-C10 Aliphatics,Aliphatics C8-C10,,,ECM
612,>C8-C10 Aliphatics (EC=9),Aliphatics C8-C10,,,ECM
613,>C8-C10 Aromatics,Aromatics >EC8-EC10,,,ECM
614,>C8-C10 Aromatics (EC=9),Aromatics >EC8-EC10,,,ECM
615,>EC10-EC12 Aromatics,Aromatics > EC10-EC12,,,ECM
616,>EC12-EC16 Aromatics,Aromatics >EC12-EC16 (aq),,,ECM
617,>EC12-EC35 Aromatics,Aromatics Total > EC12-EC35 (aq),,,ECM
618,>EC16-EC21 Aromatics,Aromatics >EC16-EC21 (aq),,,ECM
619,>EC21-EC35 Aromatics,Aromatics >EC21-EC35 (aq),,,ECM
620,>EC35-EC44 Aromatics,,Chemical Group,,ECM
621,>EC8-EC10 Aromatics,Aromatics >EC8-EC10,,,ECM
89,1-(Hydroxyphenol)-2-methylpropane,,Chemical,,ECM
