EA_ID,SITE,ALTERNATIVES
19412,Otterham Landfill,P/04/05B
19435,Ham Farm,P/05/71
19525,Stonecastle Farm Extension,P/12/14
19538,Pluckley Brickworks,P/13/14
19728,Lidsey Landfill Site Extension,WSX/L1/0168
19729,Lidsey Landfill Site,5/BT/88
19924,Abbey Fruit Farm,9/32d
19937,Hook Lane Landfill Site,F8c
19957,Paulsgrove Landfill Site,12/1d
20501,Lower Kergilliack Quarry Landfill Site,2/38
20502,Dukes Quarry Landfill,2/60
21667,Higher Whipcott Quarry,E(132)
27114,Odcombe Waste Disposal Site,39.2
27115,Poole Brickworks Landfill,28.2
27129,Westbury Landfill,W/90/0048B/WM
27158,Studley Grange Farm Landfill Site,NW/95/0065A/WM
27241,Codrington Quarry Landfill Site,L/NA/T/140C
27282,Williton Landfill,182.2
41603,Biffa - Newstead Landfill Site,3D860292
42000,Biffa  Dosthill Landfill Site,9F970621
42416,Cory - Leabrook Repository,SL1230
43021,Bestwood Landfill,7/88/194/54NE
43180,Vale Road Quarry,2/94/402/56SW
43226,Lumshill Quarry,LM40
43256,Elvaston Quarry,LS50
43281,Veolia Es Cleanaway ( U K ) Limited - Mountsorrel Quarry,SLL000027
46016,Veolia E S Cleanaway ( U K) Limited,105164
46020,Penny Hill Quarry Landfill,105406
46032,Stourhill Quarry Landfill,105906
46148,Himley Wood Landfill,6G/96/612
47013,Coalmoor Landfill Site,A25/30/SL96
48047,Woolgaston Farm,121/432
53542,Holiday Moss Landfill Site,30006/M02
53651,Chadderton Landfill Site,00570/M05/T01
53704,Bromborough Dock South Inert Landfill,30359
54225,Cemetary Road L F S,S00549/M03
57092,Walney Road,92
60212,Darrington Long Lane Quarry,NYCC 221
60588,Stairfoot Landfill,WD20 B772
60604,Parkhill Landfill Site,WD20 B958
60871,Levitt Hagg Quarry,WD20 D930
60879,Sutton Quarry,WD20 D98
60882,Breighton Landfill,A209
60884,"Weel Landfill Site, Waste Wise",55/17/8
61204,Soothill Brickworks,413
61400,Howley Park Landfill,1162
61924,Onyx Leigh Environmental Limited - Sheepbridge Landfill,LC52
61929,Onyx Leigh Environmental Limited,LK13
70281,Medebridge Road Landfill,162/89
70328,Flint Grit Pond,242/93
70449,Anti Waste Ltd - Kilverstone Landfill,NFK/LS/029/4
70692,Anti Waste Ltd - Kentford Landfill Site,SFK/LS/021/02
70722,Pakefield Landfill,SFK/LS/118/01
70900,Albion Works Landfill Site,L014
70990,Stainby Landfill Site,L244
80118,Rainham Landfill,CLE076
80140,Rainham Landfill ( Phase 4 ) Ferry Lane,CLE121
80219,"Moor Mill, St Albans",89/0234
80220,"Moor Mill, St Albans",92/0271
83039,"Prews Farm, Send, Woking, Gu23",SCC/3637/84
83137,"Stroud Farm, Bray, Maidenhead, Sl6",54/12/4/14
83138,"Stroud Farm, Bray, Maidenhead, Sl6",54/12/4/319
86035,Marley Tile Stage 3,54/12/4/155
86036,Midgham Landfill Site,54/12/4/431
86144,Rugby Cement Works,OCC/99
86156,Wheatley Railway Cutting,OCC/135
