"return_type","releases_and_transfers","parameter","units"
"Pollution Inventory","*","Alachlor","[Mass]"
"Pollution Inventory","*","Aldrin","[Mass]"
"Pollution Inventory","*","Ammonia","[Mass]"
"Pollution Inventory","*","Anthracene","[Mass]"
"Pollution Inventory","*","Arsenic","[Mass]"
"Pollution Inventory","*","Asbestos","[Mass]"
"Pollution Inventory","*","Atrazine","[Mass]"
"Pollution Inventory","*","Benzene","[Mass]"
"Pollution Inventory","*","Benzo[a]pyrene","[Mass]"
"Pollution Inventory","*","Benzo[b]fluoranthene","[Mass]"
"Pollution Inventory","*","Benzo[ghi]perylene","[Mass]"
"Pollution Inventory","*","Cadmium","[Mass]"
"Pollution Inventory","*","Carbon Dioxide From Qualifying Renewable Fuel Sources","[Mass]"
"Pollution Inventory","*","Carbon dioxide","[Mass]"
"Pollution Inventory","*","Carbon monoxide","[Mass]"
"Pollution Inventory","*","Chlordane","[Mass]"
"Pollution Inventory","*","Chlordecone","[Mass]"
"Pollution Inventory","*","Chlorfenvinphos","[Mass]"
"Pollution Inventory","*","Chloride","[Mass]"
"Pollution Inventory","*","Chlorine and inorganic chlorine compounds - as HCl","[Mass]"
"Pollution Inventory","*","Chloroethene","[Mass]"
"Pollution Inventory","*","Chlorofluorocarbons (CFCs)","[Mass]"
"Pollution Inventory","*","Chlorpyrifos","[Mass]"
"Pollution Inventory","*","Chromium","[Mass]"
"Pollution Inventory","*","Copper","[Mass]"
"Pollution Inventory","*","Cypermethrin","[Mass]"
"Pollution Inventory","*","DDT (Dichlorodiphenyltrichloroethane)","[Mass]"
"Pollution Inventory","*","Di-n-octyl phthalate","[Mass]"
"Pollution Inventory","*","Dichloromethane","[Mass]"
"Pollution Inventory","*","Dichlorvos","[Mass]"
"Pollution Inventory","*","Dieldrin","[Mass]"
"Pollution Inventory","*","Dioxins and furans (PCDDs/PCDFs) - as ITEQ","[Mass]"
"Pollution Inventory","*","Dioxins and furans (PCDDs/PCDFs) - as WHO TEQ","[Mass]"
"Pollution Inventory","*","Diuron","[Mass]"
"Pollution Inventory","*","Endosulfan","[Mass]"
"Pollution Inventory","*","Endrin","[Mass]"
"Pollution Inventory","*","Ethylbenzene","[Mass]"
"Pollution Inventory","*","Fluoranthene","[Mass]"
"Pollution Inventory","*","Fluorine and inorganic fluorine compounds - as HF","[Mass]"
"Pollution Inventory","*","HCH-gamma","[Mass]"
"Pollution Inventory","*","Halogenated organic compounds (total)","[Mass]"
"Pollution Inventory","*","Halons","[Mass]"
"Pollution Inventory","*","Heptachlor","[Mass]"
"Pollution Inventory","*","Hexabromobiphenyl","[Mass]"
"Pollution Inventory","*","Hexabromocyclododecane","[Mass]"
"Pollution Inventory","*","Hexachlorobenzene","[Mass]"
"Pollution Inventory","*","Hydrochlorofluorocarbons (HCFCs)","[Mass]"
"Pollution Inventory","*","Hydrofluorocarbons (HFCs)","[Mass]"
"Pollution Inventory","*","Hydrogen cyanide","[Mass]"
"Pollution Inventory","*","Isodrin","[Mass]"
"Pollution Inventory","*","Isoproturon","[Mass]"
"Pollution Inventory","*","Lead","[Mass]"
"Pollution Inventory","*","Mercury","[Mass]"
"Pollution Inventory","*","Methane","[Mass]"
"Pollution Inventory","*","Mirex","[Mass]"
"Pollution Inventory","*","Naphthalene","[Mass]"
"Pollution Inventory","*","Nickel","[Mass]"
"Pollution Inventory","*","Nitrogen - as total N","[Mass]"
"Pollution Inventory","*","Nitrous oxide","[Mass]"
"Pollution Inventory","*","Non-methane VOCs","[Mass]"
"Pollution Inventory","*","Nonylphenol and nonylphenol ethoxylates","[Mass]"
"Pollution Inventory","*","Octylphenols and octylphenol ethoxylates","[Mass]"
"Pollution Inventory","*","Organotin compounds - as Sn","[Mass]"
"Pollution Inventory","*","Other Alpha Particulate","[Mass]"
"Pollution Inventory","*","Other Beta/Gamma","[Mass]"
"Pollution Inventory","*","Other Beta/Gamma Particulate","[Mass]"
"Pollution Inventory","*","Oxides Of Nitrogen (NOX)","[Mass]"
"Pollution Inventory","*","PCBs (polychlorinated biphenyls)","[Mass]"
"Pollution Inventory","*","Pentachlorobenzene","[Mass]"
"Pollution Inventory","*","Pentachlorophenol","[Mass]"
"Pollution Inventory","*","Perfluoro octanyl sulphate (PFOS)","[Mass]"
"Pollution Inventory","*","Perfluorocarbons (PFCs)","[Mass]"
"Pollution Inventory","*","Phenols - total as C","[Mass]"
"Pollution Inventory","*","Phosphorus - as total P","[Mass]"
"Pollution Inventory","*","Plutonium Alpha","[Mass]"
"Pollution Inventory","*","Polychlorinated biphenyls (PCBs) - as WHO TEQ","[Mass]"
"Pollution Inventory","*","Selenium","[Mass]"
"Pollution Inventory","*","Simazine","[Mass]"
"Pollution Inventory","*","Tetrachloroethene","[Mass]"
"Pollution Inventory","*","Tetrachloromethane","[Mass]"
"Pollution Inventory","*","Toluene","[Mass]"
"Pollution Inventory","*","Total Alpha","[Mass]"
"Pollution Inventory","*","Total Beta/Gamma (Excl Tritium)","[Mass]"
"Pollution Inventory","*","Total Organic Carbon","[Mass]"
"Pollution Inventory","*","Toxaphene","[Mass]"
"Pollution Inventory","*","Tributyltin and compounds - as TBT","[Mass]"
"Pollution Inventory","*","Trichloroethene","[Mass]"
"Pollution Inventory","*","Trichloromethane","[Mass]"
"Pollution Inventory","*","Trifluralin","[Mass]"
"Pollution Inventory","*","Triphenyltin and compounds - as TPT","[Mass]"
"Pollution Inventory","*","Tritium","[Mass]"
"Pollution Inventory","*","Uranium Alpha","[Mass]"
"Pollution Inventory","*","Waste transfer","[Mass]"
"Pollution Inventory","*","Zinc","[Mass]"
"Pollution Inventory","*","hazardous waste","[Mass]"
"Pollution Inventory","*","Cobalt 57","[Radioactivity]"
"Pollution Inventory","*","Strontium 89","[Radioactivity]"
"Pollution Inventory","*","Xenon 133","[Radioactivity]"
"Pollution Inventory","*","Americium 241","[Radioactivity]"
"Pollution Inventory","*","Radon 222","[Radioactivity]"
"Pollution Inventory","*","Niobium 95","[Radioactivity]"
"Pollution Inventory","*","Erbium - 169","[Radioactivity]"
"Pollution Inventory","*","Particulate matter - PM10","[Radioactivity]"
"Pollution Inventory","*","Curium 242","[Radioactivity]"
"Pollution Inventory","*","Gallium 67","[Radioactivity]"
"Pollution Inventory","*","Phosphorus 33","[Radioactivity]"
"Pollution Inventory","*","Sulphur oxides (SO2 and SO3) as SO2","[Radioactivity]"
"Pollution Inventory","*","Ruthenium 106","[Radioactivity]"
"Pollution Inventory","*","Cobalt 60","[Radioactivity]"
"Pollution Inventory","*","Sodium 22","[Radioactivity]"
"Pollution Inventory","*","Krypton 85","[Radioactivity]"
"Pollution Inventory","*","Caesium 134","[Radioactivity]"
"Pollution Inventory","*","Plutonium 241","[Radioactivity]"
"Pollution Inventory","*","Technetium 99","[Radioactivity]"
"Pollution Inventory","*","Yttrium 90","[Radioactivity]"
"Pollution Inventory","*","Thallium 201","[Radioactivity]"
"Pollution Inventory","*","Zirconium 95","[Radioactivity]"
"Pollution Inventory","*","Cobalt 58","[Radioactivity]"
"Pollution Inventory","*","Argon 41","[Radioactivity]"
"Pollution Inventory","*","Fluorine 18","[Radioactivity]"
"Pollution Inventory","*","Iodine 123","[Radioactivity]"
"Pollution Inventory","*","Phosphorus 32","[Radioactivity]"
"Pollution Inventory","*","Cerium 144","[Radioactivity]"
"Pollution Inventory","*","Chromium 51","[Radioactivity]"
"Pollution Inventory","*","Samarium 153","[Radioactivity]"
"Pollution Inventory","*","Short chain (C10-13) chlorinated paraffins (SCCPs)","[Radioactivity]"
"Pollution Inventory","*","Particulate matter - PM2.5","[Radioactivity]"
"Pollution Inventory","*","Thorium 232","[Radioactivity]"
"Pollution Inventory","*","Sulphur 35","[Radioactivity]"
"Pollution Inventory","*","Thorium 230","[Radioactivity]"
"Pollution Inventory","*","Caesium 137","[Radioactivity]"
"Pollution Inventory","*","Carbon 14","[Radioactivity]"
"Pollution Inventory","*","Iodine 129","[Radioactivity]"
