name,definition,cas
(2-Methoxymethylethoxy)propanol,(2-Methoxymethylethoxy)propanol,34590-94-8
"1,1,1,2-Tetrachloroethane","1,1,1,2-Tetrachloroethane",
"1,1,1,2-Tetrafluoroethane","1,1,1,2-Tetrafluoroethane",811-97-2
"1,1,1-trichloro-2,2-ethane","1,1,1-trichloro-2,2-ethane",
"1,1,1-Trichloroethane","1,1,1-Trichloroethane",71-55-6
"1,1,2,2-Tetrabromoethane","1,1,2,2-Tetrabromoethane",79-27-6
"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane",
"1,1,2-Trichloroethane","1,1,2-Trichloroethane",79-00-5
"1,1,2-Trichloroethene","1,1,2-Trichloroethene",
"1,1-dichloro-2,2-bis-ethane","1,1-dichloro-2,2-bis-ethane",
"1,1-Dichloroethane","1,1-Dichloroethane",75-34-3
"1,1-Dichloroethene","1,1-Dichloroethene",75-35-4
"1,1-Dichloroethylene","1,1-Dichloroethylene",
"1,1-Dichloropropene","1,1-Dichloropropene",
"1,1-Dimethylethylbenzene","1,1-Dimethylethylbenzene",
"1,2,3 Indeno (cd) pyrene","1,2,3 Indeno (cd) pyrene",
"1,2,3,4-Tetrachlorobenzene","1,2,3,4-Tetrachlorobenzene",
"1,2,3,4-Tetrachloro-benzene","1,2,3,4-Tetrachloro-benzene",
"1,2,3-Trichlorobenzene","1,2,3-Trichlorobenzene",
"1,2,3-Trichloropropane","1,2,3-Trichloropropane",
"1,2,3-Trimethylbenzene","1,2,3-Trimethylbenzene",
"1,2,4,5-Tetrachlorobenzene","1,2,4,5-Tetrachlorobenzene",
"1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene",120-82-1
"1,2,4-Trimethylbenzene","1,2,4-Trimethylbenzene",
"1,2-Dibromo-3-chloropropane","1,2-Dibromo-3-chloropropane",96-12-8
"1,2-Dibromoethane","1,2-Dibromoethane",106-93-4
"1,2-Dichlorobenzene","1,2-Dichlorobenzene",95-50-1
"1,2-Dichloroethane","1,2-Dichloroethane",107-06-2
"1,2-Dichloroethene","1,2-Dichloroethene",540-59-0
"1,2-Dichloropropane","1,2-Dichloropropane",78-87-5
"1,3,5 Trimethylbenzene","1,3,5 Trimethylbenzene",
"1,3,5-Trichlorobenzene","1,3,5-Trichlorobenzene",
"1,3,5-Trimethylbenzene","1,3,5-Trimethylbenzene",
"1,3,5-Trinitrobenzene","1,3,5-Trinitrobenzene",
"1,3-Butadiene","1,3-Butadiene",106-99-0
"1,3-Dichloro-5,5-dimethylhydantoin","1,3-Dichloro-5,5-dimethylhydantoin",118-52-5
"1,3-Dichlorobenzene","1,3-Dichlorobenzene",
"1,3-Dichloropropane","1,3-Dichloropropane",
"1,3-Dichloropropene","1,3-Dichloropropene",542-75-6
"1,3-Dinitrobenzene","1,3-Dinitrobenzene",
"1,4-Dichlorobenzene","1,4-Dichlorobenzene",106-46-7
"1,4-Dioxane","1,4-Dioxane",123-91-1
"1,4-Naphthoquinone","1,4-Naphthoquinone",
"1,6-Hexanolactam","1,6-Hexanolactam",105-60-2
"16-(Thienylmethylene)Androstane-3,17-Diol SVOCS","16-(Thienylmethylene)Androstane-3,17-Diol SVOCS",
1-Butanethiol,1-Butanethiol,
1-Chloro-4-nitrobenzene,1-Chloro-4-nitrobenzene,100-00-5
"1-Hexanol, 2 ethyl- (SVOCSW)","1-Hexanol, 2 ethyl- (SVOCSW)",
1-Methoxypropan-2-ol,1-Methoxypropan-2-ol,107-98-2
1-Methoxypropyl Acetate,1-Methoxypropyl Acetate,108-65-6
1-Methyl-2-pyrrolidone,1-Methyl-2-pyrrolidone,872-50-4
1-Methylethylbenzene,1-Methylethylbenzene,
1-Methylnaphthalene,1-Methylnaphthalene,
1-Methylpropylbenzene,1-Methylpropylbenzene,
1-Naphthylamine,1-Naphthylamine,
1-Pentene,1-Pentene,
1-Propanethiol,1-Propanethiol,
2-(2-Butoxyethoxy)ethanol,2-(2-Butoxyethoxy)ethanol,112-34-5
2-(2-Methoxyethoxy)ethanol,2-(2-Methoxyethoxy)ethanol,111-77-3
2(3H)-Benzothiazolone,2(3H)-Benzothiazolone,
"2,2 Dichloropropane + 1,2 Dichloroethylene","2,2 Dichloropropane + 1,2 Dichloroethylene",
"2,2'-Dichloro-4,4'-methylenedianiline (MbOCA)","2,2'-Dichloro-4,4'-methylenedianiline (MbOCA)",101-14-4
"2,2-Dichloropropane","2,2-Dichloropropane",
"2,2-Dipyridyl","2,2-Dipyridyl",
"2,2'-Iminodi(ethylamine)","2,2'-Iminodi(ethylamine)",111-40-0
"2,2'-Oxydiethanol","2,2'-Oxydiethanol",111-46-6
"2,3,4,6-Tetrachlorophenol","2,3,4,6-Tetrachlorophenol",
