name,alias,type,cas
"1,2,3,4-Tetrachlorobenzene","1,2,3,4-Tetrachloro-benzene",Chemical,
"1,2,3-Trichlorobenzene","1,2,3-Trichlorobenzene (LL)",Chemical,
"1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene (LL)",Chemical,
"1,3,5-Trichlorobenzene","1,3,5-Trichlorobenzene (LL)",Chemical,
"2,4,5-T","2,4,5-T (2,4,5-Trichlorophenoxyacetic Acid)",Chemical,
"2,4-D","2,4-D ((2,4-Dichlorophenoxy)acetic Acid)",Chemical,
"2,4-DB","2,4-DB (4-(2,4-DichFlorophenoxy)butyric Acid)",Chemical,
"2,4-D","2,4 D ester",Chemical,
"2,4-Dimethylphenol","2,4 Dimenthylphenol",Chemical,
"2,4-D (ester)","2,4 D non-ester",Chemical,
Alkalinity (Total),Alkalinity,Physical,
Alkalinity as HCO3,Alkalinity as HC03,Physical,
Alkalinity Total as CaCO3,Alkalinity to pH 4.5 as CaCO3,Physical,
Endosulfan alpha (1),alpha-Endosulphan,Chemical,
HCH-alpha,Alpha HCH,Chemical,
1-Methyl-4-(1-Methylethynyl)-Benzene,alpha-Hexachlorocyclohexane,Chemical,
Ammoniacal nitrogen as N,Ammonia as N,Chemical,
Ammonia,Ammonia as NH3 CALC,Chemical,
Ammonia,Ammonia (NH3),Chemical,
Ammoniacal Nitrogen as NH4,Ammonium (as NH4),Chemical,
Ammonia as N,Ammonium as Nitrogen (NH4-N),Chemical,
Phenylamine,Aniline,Chemical,
Antimony,Antimony by ICP-MS,Chemical,
Arsenic,Arsenic by ICP-MS,Chemical,
Asbestos,Asbestos Fibres,Physical,
Temperature air field,atmospheric temperature,Physical,
Balance,Balance Gas,Physical,
Balance,Balance Gas % (difference between sum of measured gas and 100%),Physical,
Balance,Balance Gases,Physical,
Barium,"Barium, Total as BA",Chemical,
Atmospheric Pressure,Barometric Pressure,Physical,
Borehole Base AOD,Base Level,Physical,
Bentazon,Bentazone,Chemical,
Benzo(a)anthracene,Benzo a anthracene,Chemical,56-55-3
Benzo[a]pyrene,Benzo(a)pyrene,Chemical,
Benzo[a]pyrene,Benzo a pyrene,Chemical,50-32-8
Benzo[b]fluoranthene,Benzo(b)fluoranthene,Chemical,
Benzo[b]fluoranthene,Benzo b fluoranthene,Chemical,205-99-2
Benzo(e)pyrene,Benzo e pyrene,Chemical,192-97-2
Benzo(ghi)perylene,Benzo ghi perylene,Chemical,191-24-2
Beryllium,"Beryllium, Total as BE",Chemical,
Endosulfan beta (2),beta-Endosulphan,Chemical,
bis (2-chloroisopropyl) ether,Bis(2-chloroisopropyl) ether,Chemical,
Bisphenol A,Bisphenol A 80-05-7,Chemical,80-05-7
Biological oxygen demand,BOD ,Physical,
Biological oxygen demand + ATU (5days),BOD (5 day + ATU as O),Physical,
Biological oxygen demand + ATU (5days),BOD + ATU,Physical,
Biological oxygen demand + ATU (5days),BOD + ATU (5 day),Physical,
Biological oxygen demand,BOD (Biological Oxygen Demand),Physical,
Biological oxygen demand + ATU (5days),BOD (Biological Oxygen Demand) + ATU (5days),Physical,
Borehole Reference Point AOD,Borehole Cover Level,Physical,
Borehole Base Below Ref Point,Borehole depth to base,Physical,
Boron,"Boron, Total as B",Chemical,
Tribromomethane,Bromoform,Chemical,
Benzyl butyl phthalate,Butylbenzylphthalate,Chemical,
Cadmium,Cadmium Total as Cd,Chemical,
Cadmium,"Cadmium, Total as CD",Chemical,
Calcium,Calcium as CA,Chemical,
Calcium,Calcium Total as Ca,Chemical,
Carbon dioxide,Carbon dioxide (lab analysis),Chemical,
Carbon dioxide,Carbon Dioxide Stable,Chemical,
Carbon monoxide,Carbon monoxide (CO),Chemical,
Methane,CH4,Chemical,
Chemical Oxygen Demand,Chemical oxygen demand (COD),Physical,
Chloride,Chloride as Cl,Chemical,
4-Chloroaniline,Chloroaniline (p-),Chemical,
Trichloromethane,Chloroform,Chemical,
2-Chloronaphthalene,Chloronaphthalene (2),Chemical,
Chromium and its compounds expressed as chromium (total Cr),Chromium Total as Cr,Chemical,
Chromium and its compounds expressed as chromium (total Cr),"Chromium, Total as CR",Chemical,
Chromium VI,Chromium VI (Hexavalent),Chemical,
"1,3-Dichloropropene","cis-1,3-Dichloropropene",Chemical,
Chlordane-cis,Cis Chlordane,Chemical,
Carbon monoxide,CO,Chemical,
Carbon dioxide,CO2,Chemical,
Cobalt,Cobalt total as CO,Chemical,
Chemical Oxygen Demand,COD (Chemical Oxygen Demand),Physical,
Copper and its compounds expressed as copper (total Cu),Copper Total as Cu,Chemical,
Borehole Reference Point AOD,Cover Level,Physical,
Chromium,Cr,Chemical,
Cresols,Cresols ESG,Chemical,
"1,4-Naphthoquinone",Cyanide,Chemical,
Rainfall,Daily Rain,Physical,
Dichlorodiphenyldichloroethylene,"DDE (P,P)",Chemical,
Demeton-S-methyl,Dementon-s-methly,Chemical,
Demeton-O,Demeton,Chemical,
Borehole Liquid Level Below Ref Point,Depth of Liquid,Physical,
Borehole Base Below Ref Point,Depth of well,Physical,
Borehole Base Below Ref Point,Depth to base,Physical,
Borehole Base Below Ref Point,Depth to base of monitoring well,Physical,
Borehole Liquid Level Below Ref Point,Depth to Groundwater,Physical,
Borehole Liquid Level Below Ref Point,Depth to liquid,Physical,
Borehole Liquid Level Below Ref Point,Depth to Water,Physical,
Borehole Liquid Level Below Ref Point,Depth to water level,Physical,
Borehole Liquid Level Below Ref Point,Depthy to Water,Physical,
Dibutyltin,Dibutyl Tin,Chemical,
Dichlobenil,dichlorbenil,Chemical,
Dichlobenil,"Dichlorobenzonitrile (2,6)",Chemical,
"2,4-DB","Dichlorophenoxybutyric acid (4-(2,4))",Chemical,
"1,3-Dichloropropene",dichloroprop,Chemical,
"1,3-Dichloropropene",Dichlroprop,Chemical,
Differential Pressure,Diff Pressure Pa,Physical,
Dibutyl phthalate (n-),Di-n-butyl phthalate,Chemical,
Borehole Liquid Level Below Ref Point,Dip from Top,Physical,
Borehole Liquid Level Below Ref Point,Dip Level,Physical,
Borehole Liquid Level Below Ref Point,Dip Reading to Base,Physical,
Borehole Liquid Level Below Ref Point,Dip Reading to Water,Physical,
Borehole Liquid Level Below Ref Point,Dip to base,Physical,
Borehole Liquid Level Below Ref Point,Dip to leachate,Physical,
Borehole Liquid Level Below Ref Point,dip to water,Physical,
Borehole Liquid Level Below Ref Point,Dip to water (m),Physical,
Borehole Base Below Ref Point,Dip to Well,Physical,
Borehole Base Below Ref Point,Dip Well Base,Physical,
Dissolved oxygen,Dissolved Oxygen Concentration,Physical,Dissolved Oxygen saturation
"Solids, dissolved total","Dissolved solids, total",Physical,TDS (ppt)
Disulfoton,Disulphoton,Chemical,
Dissolved oxygen,DOC,Physical,
Dissolved oxygen,D O Concentration,Physical,
Dust,Dust soiling,Physical,
Dust,Dust - total suspended particulates,Physical,
Electrical Conductivity,EC,Physical,
Endosulfan alpha (1),Endosulphan-alpha,Chemical,
Ethylbenzene,Ethyl Benzene,Chemical,
Oil and Grease,"Fats, Oils & Greases",Physical,
Flammable Gas,Flammable Gas Steady,Chemical group,
Relative Pressure,Fluctation in Pressure,Physical,
Metal Prep,gamma-Hexachlorocyclohexane,Chemical,
Balance,Gas Balance,Physical,
Gas Temp,Gas Temperature,Physical,
Borehole Liquid Level Below Ref Point,Ground Water Dip Level,Physical,
Borehole Liquid Level AOD,Ground Water mAod,Physical,
Hydrogen sulphide,H2S,Chemical,
"Hexachloro - 1,3 - butadiene",Hexachlorobutadiene,Chemical,
Hydrogen sulphide,Hydrogen sulphide in ambient air,Chemical,
Hydrogen sulphide,Hydrogen Sulphide (lab analysis),Chemical,
"Indeno[1,2,3-cd]pyrene","Indeno(1,2,3 cd)pyrene",Chemical,
