EA_ID,SITE,ALTERNATIVES
10111,Castlewood Leachate Lagoon,NP3195HJ
10207,Pyramids At Paulsgrove Landfill Site,AP3795HY
10214,Casbrook Leachate Treatment Plant,RP3895HV
10281,Rookery Farm Landfill Site,BP3598HP
19408,Shakespeare Farm Landfill Extension,FP3098HA
19438,Bramling Lime Works,NP3398HK
19490,Arnold's Lodge Farm,RP3398HC
19638,Happy Hunting Grounds,KP3694HL
19677,The Rough Landfill,CP3494HE
19734,Plainwood Close,WP3194HU
19772,Apsecastle Wood Pit Landfill Site,YP3594HE
19773,Lower Knighton Farm,YP3894HY
19819,Land Adjoining Ridge Lane,BP3192HM
19870,Southleigh Landfill Site,XP3692HC
19875,Holbury 2,GP3992HB
19882,Holbury 3 Landfill Site,GP3192HT
19885,Ambervale Farm Landfill And Screener,KP3092HF
19922,Mallards Moor Sandpit,FP3492HN
20009,Glebe Quarry Ltd,RP3792HK
20023,Anvil Corner Leachate Treatment Facility,YP3392HG
20518,Land At Tresevern Croft,UP3996HQ
20531,Holwood Quarry Landfill Site,XP3896HP
20535,Connon Fields,XP3196HH
20540,Conce Moor Landfill Site,GP3596HB
20545,Newlyn East Treatment Site,GP3196HW
20549,Tiscott Wood Landfill Site,KP3096HR
21653,Blackhill Quarry,ZP3391HX
21675,Civic Amenity Site,EP3991HY
21679,Bawdenhayes Farm,EP3491HF
21684,Penn Cross Landfill,VP3391HS
21735,Torr Quarry Inert Waste Landfill,DP3191HM
21747,Heathfield Landfill - Leachate Transfer Point,YP3691HF
23532,Warmwell Quarry Part I I,VP3297HC
23534,"Broadcroft Quarry,",VP3197HH
23613,Parley Court Farm  - Closed,PP3393FJ
23621,Silton Quarry,PP3193FA
23624,Masters Pit North           Wareham,BP3093FS
23631,Marl Pit,BP3193FM
23673,Hamer Warren Landfill,UP3593FG
23674,Warmwell Quarry North,UP3893FZ
23689,Warmwell Landfill Site,XP3293FM
23756,Henbury Landfill Site,CP3893FR
26003,Bearly Farm Landfill Site,ZP3993FD
26021,"Landfill And Treatment Site On Land Adjacent To Woodhouse Farm, Montacute",NP3193FV
26027,Paradise Quarry,EP3593FE
27042,Dimmer Landfill,KP3790FR
27113,St Cuthberts Paper Mill,EP3690FF
27228,Plantation Works Landfill Site,SP3899FQ
40004,Fallows - Booths Farm Landfill Site,PP3192FV
40028,John Heath - Park Hall Farm Landfill Site,SP3492FB
40710,Henry Venables Doxey Road Landfill Site,BP3396FN
40716,Willenhall Lane Landfill Site,BP3896FP
40836,Douglas - Newbold Gravel Pit,MP3696FG
41020,Staffordshire C C  Bemersley Landfill Site,UP3496FF
41420,Corus - Shelton Steelworks,GP3196FE
41520,City Of Stoke On Trent - Newford Valley,KP3796FG
