"EA_ID","SITE","ALTERNATIVES"
"AP3238GH","Winsford Rock Salt Mine Waste Disposal Facility",
"AP3533LF","Judkins Landfill Phase 3 EPR/AP3533LF",
"BJ6003IF","New Albion Landfill EPR/BJ6003IF",
"BJ7824IK","Path Head LF EPR/BJ7824IK",
"BJ9339IF","Skelton Grange Landfill Site",
"BK1244IA","Fair Oak Landfill EPR/BK1244IA",
"BK2348IU","Clifton Marsh Landfill - Phase 4 EPR/BK2348IU",
"BK6785IE","Walpole Landfill Site EPR/BK6785IE",
"BK6858ID","SANDS FARM LANDFILL",
"BL9500IJ","Whinney Hill (Phase 2) Landfill EPR/BL9500IJ",
"BL9518IE","Jameson Road Landfill - Phase 2 EPR/BL9518IE",
"BM4635IH","BLETCHLEY LANDFILL SITE",
"BM6093IS","Bennett Bank Landfill",
"BP3032SG","Aldeby Landfill",
"BP3436VS","Poplars PFA Landfill Site EPR/BP3436VS",
"BP3537PP","Eye North Eastern Landfill",
"BR4713IV","Shortwood Quarry Landfill Site",
"BS3263IC","Salt Ayre Leachate Treatment Plant EPR/BS3263IC",
"BS6939IN","Thurcroft Landfill EPR/BS6939IN",
"BS7340IH","Clifton Hall Landfill EPR/BS7340IH",
"BS7668IH","Arpley Landfill",
"BS7722ID","MAW GREEN LANDFILL SITE",
"BS7951IB","PILSWORTH SOUTH LANDFILL",
"BS8605IQ","Calvert Landfill Site",
"BT7272IW","Yanley Landfill",
"BU0834IP","Edwin Richards Landfill Site EPR/BU0834IP",
"BU2373IA","STAVELEY LANDFILL",
"BU2381IE","Ling Hall Landfill EPR/BU2381IE",
"BU3671IY","WINGMOOR FARM",
"BU5208IJ","Blue Haze Landfill EPR/BU5208IJ",
"BU5992IT","Barnsley Lane Landfill EPR/BU5992IT",
"BU6000IL","Beacon Hill Landfill EPR/BU6000IL",
"BU7090IZ","Alkerton Landfill Site",
"BU7103IC","Granville/Woodhouse Landfill EPR/BU7103IC",
"BU7901IP","COLNBROOK LANDFILL",
"BU8045IR","Houghton-Le-Spring EPR/BU8045IR",
"BU8126IY","Redhill Landfill (NEQ) EPR/BU8126IY",
"BU9068IM","PILSWORTH NORTH LANDFILL SITE",
"BU9084IJ","Candles Landfill EPR/BU9084IJ",
"BU9947IA","New Crosby LF EPR/BU9947IA",
"BV0953IM","Stewartby Leachate Treatment Plant",
"BV1020IS","Albury Landfill EPR/BV1020IS",
"BV1046IV","Sidegate Lane Landfill EPR/BV1046IV",
"BV1372IW","LORD ST HELENS LANDFILL SITE",
"BV1437IB","COLSTERWORTH LANDFILL SITE",
"BV1461IV","Barrington Works Landfill EPR/BV1461IV",
"BV1470IE","SKELBROOKE LANDFILL SITE",
"BV1763IS","South Ferriby Works Landfill",
"BV1844IM","Gowy Landfill EPR/BV1844IM",
"BV2204IZ","Lean Quarry Landfill Site",
"BV2263IW","Redhill Landfill (SWQ) EPR/BV2263IW",
"BV2999IJ","Vigo Utopia Landfill Site EPR/BV2999IJ",
"BV3740ID","Dogsthorpe Landfill Site",
"BV3766IH","BROGBOROUGH LANDFILL",
"BV4410IC","Middlemarsh Landfill EPR/BV4410IC",
"BV4428IU","Bootham Lane Landfill EPR/BV4428IU",
"BV4444IQ","Dorket Head Landfill EPR/BV4444IQ",
"BV4452ID","Bilsthorpe Landfill Site EPR/BV4452ID",
"BV4495IX","Attlebridge Landfill EPR/BV4495IX",
"BV4509IG","WANGFORD LANDFILL",
"BV4517IM","MASONS LANDFILL",
"BV4525IB","WELDON LANDFILL SITE",
"BV4576IK","Stewartby Landfill EPR/BV4576IK",
"BV4584IU","Milton Landfill EPR/BV4584IU",
"BV4592IS","March Landfill Site",
"BV4967IW","Meece 1 Landfill EPR/BV4967IW",
"BV4975IN","Wilnecote Landfill EPR/BV4975IN",
"BV5165IJ","Arlesey Landfill Site EPR/BV5165IJ",
"BV7001IK","SUTTON COURTENAY LANDFILL  EPR/BV7001IK",
"BV7028IP","Heathfield Landfill",
"BV7214IR","Dix Pit Landfill EPR/BV7214IR",
"BV7265IS","Himley Quarry Landfill EPR/BV7265IS",
"BV7346IM","ARDLEY LANDFILL SITE",
"BV7877IR","Risley Landfill EPR/BV7877IR",
"BV7907IN","Rigby Houghton Landfill EPR/BV7907IN",
"BV9896IY","Brookhurst Wood Landfill Site",
"BV9900IS","Horton Landfill Site",
"BW0037IA","Bubbenhall Landfill EPR/BW0037IA",
"BW0096IJ","Meece II Landfill Site EPR/BW0096IJ",
"BW0240IT","Hermitage Landfill",
"BW0509IU","Bradgate Landfill EPR/BW0509IU",
"BW0533ID","Packington Landfill Site EPR/BW0533ID",
"BW0584IL","AD Facility",
"BW0983IT","Parkwood Road Landfill Site EPR/BW0983IT/V007",
"BW0991IX","ERIN LANDFILL",
"BW1009ID","Barnsdale Bar Landfill EPR/BW1009ID",
"BW1785IH","Winterton South Landfill EPR/BW1785IH",
"BW1807IK","NORTH HERTS  LANDFILL",
"BW2188IU","Allerton Park Landfill Site",
"BW2811IJ","Grunty Fen Landfill Site",
"BW2838IN","Feltwell Landfill EPR/BW2838IN",
"BW2862IU","Somersham Landfill EPR/BW2862IU",
"BW2943IG","FOXHALL LANDFILL SITE",
"BW2951IM","Roxby Landfill EPR/BW2951IM",
"BW2978ID","Whisby Landfill",
"BW2986IW","North Hykeham Landfill Site",
"BW3125IA","Staple Quarry Landfill EPR/BW3125IA",
"BX0792IX","KILSBY PHASE VII LANDFILL SITE EPR/BX07902IX/V004",
"BX2388IF","CROFT FARM LANDFILL SITE",
"BX4054ID","Trigon Landfill Site",
"BX7886IJ","LYME AND WOOD PITS INTEGRATED WASTE MANAGEMENT FACILITY",
"CP3033LL","Pebsham Landfill - Northern Quandrant",
"CP3435PR","Star Works Landfill Site",
"CP3935PU","Squabb Wood Landfill Site",
"DP3238SB","Ellington Road LF EPR/DP3238SB",
"DP3335ME","Southam Landfill",
"DP3431PC","WESTMILL II WASTE MANAGEMENT FACILITY",
"DP3836LS","Carlton Forest Landfill EPR/DP3836LS",
"DP3939SW","Bellhouse Landfill EPR/DP3939SW",
"EP3038LE","Winterton Gas Utilisation Plant",
"EP3136GK","Rainham Landfill EPR/EP3136GK",
"EP3936GP","Pitsea Landfill",
"FP3435PJ","Studley Grange Landfill EPR/FP3435PJ",
"FP3733BH","Godmanchester Landfill EPR/FP3733BH",
"GP3037SJ","Lillyhall Stage 3 Landfill Site",
"GP3431LF","Buckden Effluent Treatment Plant",
"GP3537PU","Henthorn Road Landfill EPR/GP3537PU",
"GP3937PZ","GUP EPR/GP3937PZ",
"JP3238WF","Narborough GUP EPR/CB3207SE",
"KP3734LL","DEERPLAY LANDFILL",
"LP3031LK","Small Dole Leachate Treatment Plant",
"LP3032UR","Waresley Landfill EPR/LP3032UR",
"LP3236XH","Ockendon Power Plant EPR/LP3236XH/V004",
"LP3437UZ","DARRINGTON NORTH LANDFILL",
"LP3530BX","Carnaby Landfill Site  EA/EPR/LP3530BX/V004",
"LP3939HN","Boston Landfill EPR/XP3298NJ",
"MP3435KP","Elsenham Landfill EPR/MP3435KP",
"MP3439MH","United Mines Landfill EPR/MP3439MH",
"MP3631LY","Vigo Utopia Leachate Treatment Plant",
"MP3933CJ","Burghfield Landfill Site A EPR/MP3933CJ",
"NP3135SL","Highfields South Landfill Site",
"NP3139PK","Harmondsworth Landfill Site",
"NP3235SU","Hempsted Landfill Site",
"NP3435PX","Ufton Farm Landfill Site",
"NP3538MF","Daneshill Landfill Site",
"NP3635SZ","Kingsbury Landfill EPR/NP3635SZ",
"NP3736DS","Bellhouse Landfill EPR/NP3736DS",
"NP3736GU","III Landfill",
"PP3032SY","Deerplay Landfill Gas Utilisation Scheme",
"PP3133TS","LEADENHAM LANDFILL",
"PP3139DJ","GREATNESS QUARRY INTEGRATED WASTE MANAGEMENT FACILITY",
"PP3430BK","Kirkby on Bain Landfill site",
"PP3532MB","Amberswood Leachate Treatment Plant",
