EA_ID,SITE,ALTERNATIVES
19412,Otterham Landfill,P/04/05B
19418,Lower Twydall Chalk Pit,P/04/18
19435,Ham Farm,P/05/71
19450,Austins Land,P/07/15
19493,Harpwood Residential,P/10/50
19518,Westwood,P/11/40
19538,Pluckley Brickworks,P/13/14
19565,Manor Farm,P/15/03
19572,Oxted Quarry,P/18/04
19577,Clackett Lane Pit,P/18/09
19616,Lottbridge Drove Landfill,WR/6-063/L
19621,Old Rodmell Cement Works,WD116
19665,Tulley's Nurseries,WSX/L1/0080
19701,Small Dole Landfill,WSX/L1/0089/10
19706,Streat Sandpit,WD161
19721,Goldbridge Farm,WD159
19728,Lidsey Landfill Site Extension,WSX/L1/0168
19729,Lidsey Landfill Site,5/BT/88
19775,Combley Farm Pit Landfill Site,IW11 - R9358
19779,Landfill At Knighton Sandpit,IW15
19791,Stag Lane Landfill Site,IW32
19794,Cheverton Down Landfill,IW36 - 9490
19799,Extension To Apple Dell,1/17
19806,Further Common Plantation,4/3
19811,How Park,4/35
19831,Land West Of Marsh Court Road,TV152
19864,Brickyard Road,WR142
19872,"Esso Refinery Landfill, Windy Corner",7/5b
19878,Esso Petroleum Refinery Landfill,7/66
19889,Dale Farm,N173
19924,Abbey Fruit Farm,9/32d
19937,Hook Lane Landfill Site,F8c
19957,Paulsgrove Landfill Site,12/1d
19995,Poundbottom Landfill - Licence C,S89/009C/WD
20501,Lower Kergilliack Quarry Landfill Site,2/38
20502,Dukes Quarry Landfill,2/60
20503,R N Baker,2/67
20506,West Chyverton Mine,2/78
20511,Reen Cross Meadow Landfill,2/102
20516,Tiscott Wood Depot Landfill Site,2/123
20517,Land At Newlyn Downs,2/117
20520,Land At Trethennal Farm,2/130
20521,Carnsew Quarry Landfill,2/138
20523,Park An Chy Landfill,2/146
20525,Sticker Reservoir Landfill,2/148
20526,Disused Railway Cutting - Lane End Landfill,2/64
20528,Halloon Farm,2/161
20532,The Kelliers,2/163
20539,Treworder Landfill Site,2/99
20753,Chelson Meadow,WR/L/LF/W/52
20754,Old Canal Landfill Site,WR/L/LF/N/24
