permit,long_name
AP3238GH,AP3238GH - Winsford Rock Salt Mine
AP3533LF,AP3533LF - Judkins Landfill Phase 3
AP3638SX,AP3638SX - Alne Brickworks Landfill Site
BJ6003IF,BJ6003IF - NEW ALBION LANDFILL SITE
BJ7824IK,BJ7824IK - PATH HEAD LANDFILL SITE
BJ8952IH,"BJ8952IH - Rye Loaf Hill Landfill, Bingley"
BJ9339IF,BJ9339IF - Skelton Grange Landfill Site
BK0418IS,BK0418IS - PARKGATE FARM WASTE MANAGEMENT FACILITY
BK0507IB,BK0507IB - HAREWOOD WHIN LANDFILL
BK1244IA,BK1244IA - Fairoak Landfill Site
BK1449IK,BK1449IK - COTESBACH LANDFILL
BK2348IU,BK2348IU - CLIFTON MARSH LANDFILL SITE
BK3166IP,BK3166IP - Frampton Landfill Site
BK5037IQ,BK5037IQ - WATERBEACH WASTE MANAGEMENT FACILITY
BK6572IM,BK6572IM - PRIDE PARK SECOND WASTE REPOSITORY
BK6785IE,BK6785IE - WALPOLE LANDFILL
BK6858ID,BK6858ID - SANDS FARM LANDFILL
BL4940IU,BL4940IU - HAZEL LANE QUARRY AND LANDFILL
BL9500IJ,BL9500IJ - Whinney Hill (Phase 2) Landfill Site
BL9518IE,BL9518IE - Jameson Road (Phase 2) Landfill Site
BM4635IH,BM4635IH - BLETCHLEY LANDFILL SITE
BM5941IH,BM5941IH - FLUSCO PIKE LANDFILL SITE
BM6026IB,BM6026IB - HESPIN WOOD LANDFILL SITE
BM6093IS,BM6093IS - Bennett Bank Landfill
BP3032SG,BP3032SG - Aldeby Landfill
BP3234LK,BP3234LK - Ling Hall Landfill Gas Utilisation
BP3235SW,BP3235SW - Finmere Quarry Landfill
BP3238LV,BP3238LV - Connon Bridge GUP
BP3436VS,BP3436VS - Poplars PFA Landfill Site
BP3537PP,BP3537PP - Eye North Eastern Landfill
BP3633LN,BP3633LN - RANDLE LANDFILL SITE
BP3635SB,"BP3635SB - Holmes Farm Landfill, Blackburn Meadows"
BP3638LP,BP3638LP - Chelson Meadow Landfill Site GUP
BR4713IV,BR4713IV - Shortwood Quarry Landfill Site
BR9677IT,BR9677IT - WALLEYS QUARRY
BS3263IC,BS3263IC - Salt Ayre Leachate Treatment Plant
BS6939IN,BS6939IN - Thurcroft Landfill
BS7340IH,BS7340IH - CLIFTON HALL LANDFILL SITE
BS7668IH,BS7668IH - Arpley Landfill
BS7722ID,BS7722ID - MAW GREEN LANDFILL SITE
BS7951IB,BS7951IB - PILSWORTH SOUTH LANDFILL
BS9989IJ,BS9989IJ - CAMPWOOD LANDFILL SITE
BT7272IW,BT7272IW - Yanley Landfill
BU0834IP,BU0834IP - EDWIN RICHARDS LANDFILL SITE
BU2373IA,BU2373IA - STAVELEY LANDFILL
BU2381IE,BU2381IE - Ling Hall Landfill
BU3671IY,BU3671IY - WINGMOOR FARM
BU5208IJ,BU5208IJ - BLUE HAZE LANDFILL
BU5801ID,BU5801ID - Lower Compton Landfill
BU5992IT,BU5992IT - Barnsley Lane Landfill Site
BU6000IL,BU6000IL - BEACON HILL
BU6018ID,BU6018ID - PURTON LANDFILL SITE
BU7090IZ,BU7090IZ - Alkerton Landfill Site
BU7103IC,BU7103IC - GRANVILLE/WOODHOUSE LANDFILL SITE
BU7901IP,BU7901IP - COLNBROOK LANDFILL
BU8045IR,BU8045IR - HOUGHTON-LE-SPRING LANDFILL SITE
BU8126IY,BU8126IY - Redhill Landfill (North East Quadrant)
BU9068IM,BU9068IM - PILSWORTH NORTH LANDFILL SITE
BU9084IJ,BU9084IJ - CANDLES LANDFILL
BU9726IH,BU9726IH - PECKFIELD LANDFILL
BU9947IA,BU9947IA - New Crosby Landfill Site
BV0627IL,BV0627IL - CONESBY QUARRY PHASE III
BV1046IV,BV1046IV - Sidegate Lane Landfill
BV1364ID,BV1364ID - CLAYTON HALL LANDFILL SITE
BV1372IW,BV1372IW - LORD ST HELENS LANDFILL SITE
BV1399IT,BV1399IT - Port Clarence landfill Site (Haz)
BV1402IC,BV1402IC - Port Clarence Non-Hazardous
BV1437IB,BV1437IB - COLSTERWORTH LANDFILL SITE
BV1453IR,BV1453IR - GRANGE TOP QUARRY LANDFILL
BV1461IV,BV1461IV - BARRINGTON WORKS LANDFILL
BV1470IE,BV1470IE - SKELBROOKE LANDFILL SITE
BV1593IB,BV1593IB - EARDSWICK HALL LANDFILL SITE
BV1763IS,BV1763IS - South Ferriby Works Landfill
BV1844IM,BV1844IM - GOWY LANDFILL SITE
BV1917IT,BV1917IT - ICI NO 3 TEESPORT
BV1984IH,BV1984IH - ICI NO 2 TEESPORT
BV2204IZ,BV2204IZ - Lean Quarry Landfill Site
BV2263IW,BV2263IW - Redhill Landfill (South West Area)
BV2999IJ,BV2999IJ - Vigo Utopia Landfill Site
BV3740ID,BV3740ID - Dogsthorpe Landfill Site
BV3766IH,BV3766IH - BROGBOROUGH LANDFILL
BV3782IM,BV3782IM - MUCKING LANDFILL
BV4410IC,BV4410IC - MIDDLEMARSH LANDFILL
BV4428IU,BV4428IU - BOOTHAM LANE LANDFILL
BV4444IQ,BV4444IQ - DORKET HEAD LANDFILL
BV4452ID,BV4452ID - Bilsthorpe Landfill Site
BV4495IX,BV4495IX - ATTLEBRIDGE LANDFILL
BV4509IG,BV4509IG - WANGFORD LANDFILL
BV4517IM,BV4517IM - MASONS LANDFILL
BV4525IB,BV4525IB - WELDON LANDFILL SITE
BV4541IR,BV4541IR - MINWORTH LANDFILL
BV4576IK,BV4576IK - Stewartby Landfill Site
BV4584IU,BV4584IU - MILTON LANDFILL
BV4592IS,BV4592IS - March Landfill Site
BV4967IW,BV4967IW - MEECE LANDFILL 1
BV4975IN,BV4975IN - Wilnecote Landfill
BV5165IJ,BV5165IJ - Arlesey Landfill Site
BV6994IV,BV6994IV - DEEPMOOR LANDFILL
BV7028IP,BV7028IP - Heathfield Landfill
BV7168IX,BV7168IX - Pound Bottom Landfill Site
BV7214IR,BV7214IR - Dix Pit Landfill Site
BV7222IV,BV7222IV - Hurst Landfill Site
BV7265IS,BV7265IS - Himley Quarry Landfill Site
BV7877IR,BV7877IR - RISLEY LANDFILL SITE
BV7907IN,BV7907IN - Rigby Landfill
BV8725IT,BV8725IT - DISTINGTON LANDFILL SITE
BV8741IL,BV8741IL - HARWOOD QUARRY LANDFILL SITE
