"lic_wml","lic_name","lic_site","lic_epr","pas_permit","lic_othid"
"AP3238GH","Veolia ES (UK) Limited","Winsford Rock Salt Mine Waste Disposal Facility",,"AP3238GH",
"AP3238GH","Veolia ES (UK) Limited","Winsford Rock Salt Mine Waste Disposal Facility",,"EP3832EC",
"AP3238GH","Veolia ES (UK) Limited","Winsford Rock Salt Mine Waste Disposal Facility",,"JP3134WB",
"AP3533LF","Waste Recycling Group (Central) Limited","Judkins Landfill Phase 3 EPR/AP3533LF",,"AP3533LF",
"AP3533LF","Waste Recycling Group (Central) Limited","Judkins Landfill Phase 3 EPR/AP3533LF",,"MP3537WA",
"AP3533LF","Waste Recycling Group (Central) Limited","Judkins Landfill Phase 3 EPR/AP3533LF",,"NP3338WW",
"AP3533LF","Waste Recycling Group (Central) Limited","Judkins Landfill Phase 3 EPR/AP3533LF",,"YP3032EV",
"AP3533LF","Waste Recycling Group (Central) Limited","Judkins Landfill Phase 3 EPR/AP3533LF",,"ZP3037RV",
"AP3638SX","York Recycling (Processing) Ltd","Alne Brickworks Landfill Site",,"AP3638SX",
"BJ6003IF","Veolia ES Landfill Ltd","New Albion Landfill EPR/BJ6003IF",,"BJ6003IF",
"BJ6003IF","Veolia ES Landfill Ltd","New Albion Landfill EPR/BJ6003IF",,"LP3436LS",
"BJ6003IF","Veolia ES Landfill Ltd","New Albion Landfill EPR/BJ6003IF",,"MP3030RZ",
"BJ6003IF","Veolia ES Landfill Ltd","New Albion Landfill EPR/BJ6003IF",,"NP3434GR",
"BJ6003IF","Veolia ES Landfill Ltd","New Albion Landfill EPR/BJ6003IF",,"QP3337ZY",
"BJ6003IF","Veolia ES Landfill Ltd","New Albion Landfill EPR/BJ6003IF",,"VP3235WW",
"BJ6003IF","Veolia ES Landfill Ltd","New Albion Landfill EPR/BJ6003IF",,"VP3731HM",
"BJ6003IF","Veolia ES Landfill Ltd","New Albion Landfill EPR/BJ6003IF",,"WP3331KP",
"BJ7824IK","SUEZ UK Environment Ltd","Path Head LF EPR/BJ7824IK",,"BJ7824IK",
"BJ7824IK","SUEZ UK Environment Ltd","Path Head LF EPR/BJ7824IK",,"CP3635MD",
"BJ7824IK","SUEZ UK Environment Ltd","Path Head LF EPR/BJ7824IK",,"MP3537FB",
"BJ7824IK","SUEZ UK Environment Ltd","Path Head LF EPR/BJ7824IK",,"UP3536WP",
"BJ7824IK","SUEZ UK Environment Ltd","Path Head LF EPR/BJ7824IK",,"UP3635DU",
"BJ7824IK","SUEZ UK Environment Ltd","Path Head LF EPR/BJ7824IK",,"VP3232ZN",
"BJ8952IH","Amec Capital Projects Limited","Rye Loaf Hill Landfill, Bingley",,"BJ8952IH",
"BJ8952IH","Amec Capital Projects Limited","Rye Loaf Hill Landfill, Bingley",,"BT0588IU",
"BJ8952IH","Amec Capital Projects Limited","Rye Loaf Hill Landfill, Bingley",,"CP3330MM",
"BJ8952IH","Amec Capital Projects Limited","Rye Loaf Hill Landfill, Bingley",,"EP3033ZR",
"BJ8952IH","Amec Capital Projects Limited","Rye Loaf Hill Landfill, Bingley",,"SP3735SD",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"AP3230LQ",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"BJ9339IF",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"BP3234VA",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"BS4626IQ",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"BX6499ID",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"CP3437TL",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"JP3236LD",
